Pipeline	Balanced accuracy
36	0.82134899
38	0.816200194
17	0.808818892
51	0.806458038
75	0.82027593
31	0.815833748
18	0.807449029
47	0.81053986
35	0.806106934
41	0.812758259
22	0.808488236
42	0.819979127
13	0.825199947
15	0.819218212
49	0.813076489
24	0.799421755
96	0.812442944
46	0.802052348
11	0.809173167
39	0.800322124
